ticker_or_identifier,name,cik,form_type,filed_at,period_of_report,accession_no,primary_document,primary_doc_description,items,url
0001681348,VivoPower PLC,1681348,S-8,2022-12-08,,0001437749-22-028765,vpip20221208_s8.htm,FORM S-8,,https://www.sec.gov/Archives/edgar/data/1681348/000143774922028765/vpip20221208_s8.htm
0001681348,VivoPower PLC,1681348,6-K,2022-11-14,2022-11-14,0001437749-22-027062,vpip20221114_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774922027062/vpip20221114_6k.htm
0001681348,VivoPower PLC,1681348,6-K,2022-11-10,2022-11-10,0001437749-22-026926,vpip20221110_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774922026926/vpip20221110_6k.htm
0001681348,VivoPower PLC,1681348,6-K,2022-11-08,2022-11-08,0001437749-22-026249,vpip20221108_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774922026249/vpip20221108_6k.htm
0001681348,VivoPower PLC,1681348,6-K,2022-11-03,2022-11-03,0001437749-22-025782,vpip20221103_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774922025782/vpip20221103_6k.htm
0001681348,VivoPower PLC,1681348,6-K,2022-10-27,2022-10-27,0001437749-22-024953,vpip20221027_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774922024953/vpip20221027_6k.htm
0001681348,VivoPower PLC,1681348,424B3,2022-09-30,,0001437749-22-023303,vpip20220927_424b3.htm,FORM 424B3,,https://www.sec.gov/Archives/edgar/data/1681348/000143774922023303/vpip20220927_424b3.htm
0001681348,VivoPower PLC,1681348,EFFECT,2022-09-29,,9999999995-22-002864,xslEFFECTX01/primary_doc.xml,,"F-1,,2022-09-29 17:00:00",https://www.sec.gov/Archives/edgar/data/1681348/999999999522002864/xslEFFECTX01/primary_doc.xml
0001681348,VivoPower PLC,1681348,CORRESP,2022-09-27,,0001437749-22-023119,filename1.htm,,,https://www.sec.gov/Archives/edgar/data/1681348/000143774922023119/filename1.htm
0001681348,VivoPower PLC,1681348,UPLOAD,2022-09-23,,0000000000-22-010526,filename1.pdf,,,https://www.sec.gov/Archives/edgar/data/1681348/000000000022010526/filename1.pdf
0001681348,VivoPower PLC,1681348,DEL AM,2022-09-20,,0001437749-22-022764,vpip20220919_delam.htm,FORM DEL AM,,https://www.sec.gov/Archives/edgar/data/1681348/000143774922022764/vpip20220919_delam.htm
0001681348,VivoPower PLC,1681348,F-1,2022-09-16,,0001437749-22-022641,vpip20220915_f1.htm,,,https://www.sec.gov/Archives/edgar/data/1681348/000143774922022641/vpip20220915_f1.htm
0001681348,VivoPower PLC,1681348,20-F,2022-09-16,2022-06-30,0001437749-22-022635,vpip20220630_20f.htm,FORM 20-F,,https://www.sec.gov/Archives/edgar/data/1681348/000143774922022635/vpip20220630_20f.htm
0001681348,VivoPower PLC,1681348,6-K,2022-08-29,2022-08-29,0001437749-22-021460,vpip20220826_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774922021460/vpip20220826_6k.htm
0001681348,VivoPower PLC,1681348,6-K,2022-08-29,2022-08-29,0001437749-22-021455,vpip20220829_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774922021455/vpip20220829_6k.htm
0001681348,VivoPower PLC,1681348,6-K,2022-08-24,2022-08-24,0001437749-22-021229,vpip20220824_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774922021229/vpip20220824_6k.htm
0001681348,VivoPower PLC,1681348,6-K,2022-08-02,2022-07-29,0001437749-22-018470,vpip20220801_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774922018470/vpip20220801_6k.htm
0001681348,VivoPower PLC,1681348,424B5,2022-08-01,,0001437749-22-018274,vpip20220629_424b5.htm,FORM 424B5,,https://www.sec.gov/Archives/edgar/data/1681348/000143774922018274/vpip20220629_424b5.htm
0001681348,VivoPower PLC,1681348,6-K,2022-07-29,2022-07-29,0001437749-22-018074,vpip20220728_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774922018074/vpip20220728_6k.htm
0001681348,VivoPower PLC,1681348,424B4,2022-07-29,,0001437749-22-018070,vpip20220630_424b4.htm,FORM 424B4,,https://www.sec.gov/Archives/edgar/data/1681348/000143774922018070/vpip20220630_424b4.htm
